iter	Passed	Remaining
987	12117991	2600216
988	12130383	2587978
989	12143050	2575798
990	12156362	2563753
991	12168596	2551479
992	12180731	2539185
993	12193004	2526920
994	12205372	2514674
995	12217678	2502415
996	12229935	2490147
997	12242161	2477872
998	12254385	2465597
999	12266675	2453335
1000	12278821	2441044
1001	12291007	2428762
1002	12303232	2416487
1003	12315448	2404210
1004	12327691	2391940
1005	12340096	2379700
1006	12352266	2367415
1007	12364436	2355130
1008	12376406	2342808
1009	12388556	2330520
1010	12400772	2318245
1011	12412975	2305967
1012	12425278	2293708
1013	12437640	2281460
1014	12449953	2269203
1015	12462273	2256947
1016	12474410	2244658
1017	12486578	2232374
1018	12498924	2220122
1019	12510865	2207799
1020	12523342	2195571
1021	12535777	2183334
1022	12547997	2171061
1023	12560365	2158812
1024	12572703	2146559
1025	12584882	2134278
1026	12597152	2122012
1027	12609332	2109732
1028	12621692	2097482
1029	12634142	2085246
1030	12646558	2073005
1031	12658849	2060742
1032	12671003	2048458
1033	12683330	2036201
1034	12695615	2023938
1035	12707900	2011675
1036	12720153	1999407
1037	12732322	1987125
1038	12744776	1974888
1039	12757182	1962643
1040	12769502	1950385
1041	12781411	1938064
1042	12793550	1925778
1043	12805862	1913519
1044	12818151	1901256
1045	12830508	1889004
1046	12842692	1876725
1047	12854490	1864391
1048	12866605	1852104
1049	12878807	1839829
1050	12890961	1827548
1051	12903155	1815272
1052	12915537	1803023
1053	12927650	1790737
1054	12939845	1778462
1055	12951850	1766161
1056	12964058	1753888
1057	12976199	1741607
1058	12988585	1729358
1059	13000972	1717109
1060	13013332	1704857
1061	13025468	1692575
1062	13037814	1680320
1063	13050074	1668054
1064	13062040	1655751
1065	13074322	1643488
1066	13086649	1631231
1067	13098864	1618960
1068	13111156	1606699
1069	13123524	1594446
1070	13135686	1582169
1071	13147935	1569902
1072	13160134	1557630
1073	13172295	1545353
1074	13184511	1533082
1075	13196671	1520806
1076	13208850	1508531
1077	13221018	1496256
1078	13232851	1483943
1079	13245122	1471680
1080	13257300	1459406
1081	13269622	1447149
1082	13281685	1434863
1083	13293935	1422598
1084	13306309	1410346
1085	13318604	1398085
1086	13330748	1385809
1087	13343372	1373582
1088	13355651	1361319
1089	13368041	1349068
1090	13380287	1336802
1091	13392465	1324529
1092	13404700	1312262
1093	13417040	1300005
1094	13429371	1287747
1095	13441408	1275462
1096	13453525	1263184
1097	13465748	1250916
1098	13477903	1238642
1099	13489882	1226352
1100	13502052	1214081
1101	13514452	1201829
1102	13526743	1189568
1103	13539000	1177304
1104	13551242	1165038
1105	13563422	1152768
1106	13575262	1140469
1107	13587410	1128196
1108	13599616	1115928
1109	13611749	1103655
1110	13623910	1091384
1111	13636084	1079114
1112	13648402	1066856
1113	13660659	1054593
1114	13672972	1042334
1115	13685157	1030065
1116	13697391	1017800
1117	13709610	1005534
1118	13721862	993271
1119	13734069	981004
1120	13746320	968741
1121	13758729	956489
1122	13770999	944227
1123	13783292	931966
1124	13795510	919700
1125	13807778	907438
1126	13819968	895170
1127	13832220	882907
1128	13844411	870640
1129	13856517	858368
1130	13868848	846110
1131	13881144	833849
1132	13893331	821582
1133	13905557	809318
1134	13917848	797057
1135	13930148	784797
1136	13942672	772549
1137	13955062	760293
1138	13967675	748049
1139	13979958	735787
1140	13992259	723526
1141	14004591	711266
1142	14016880	699004
1143	14029072	686737
1144	14041434	674479
1145	14053713	662216
1146	14065856	649948
1147	14078108	637684
1148	14090556	625429
1149	14102849	613167
1150	14115095	600903
1151	14127393	588641
1152	14139542	576373
1153	14151924	564114
1154	14164026	551845
1155	14176219	539579
1156	14188531	527317
1157	14200920	515059
1158	14213222	502797
1159	14225520	490535
1160	14237818	478272
1161	14250208	466013
1162	14262613	453754
1163	14274929	441492
1164	14287201	429229
1165	14299325	416961
1166	14311566	404697
1167	14323761	392431
1168	14335941	380166
1169	14348255	367903
1170	14360474	355639
1171	14372635	343373
1172	14384824	331108
1173	14397015	318843
1174	14409251	306579
1175	14421415	294314
1176	14433733	282052
1177	14445927	269788
1178	14458120	257523
1179	14470699	245266
1180	14483057	233004
1181	14495225	220739
1182	14507510	208476
1183	14519690	196212
1184	14531984	183949
1185	14544558	171689
1186	14556757	159425
1187	14569237	147164
1188	14581503	134900
1189	14593700	122636
1190	14605879	110371
1191	14618045	98107
1192	14630265	85843
1193	14642491	73580
1194	14654780	61317
1195	14666870	49053
1196	14679145	36789
1197	14691388	24526
1198	14703612	12263
1199	14715797	0
